sifra proizvoda,naziv proizvoda,sifra sirovine,naziv sirovine,jedinica mjere sirovine,količina,jedinica mjere,dužina,širina,visina,komada,kantiranje
124,AGRO 180 x 200,532,Nogica fi 50/h 35 bez tipla-crna E (4801),kom,6,Korpus(baza),,,,,
124,AGRO 180 x 200,569,Ljepljiva traka 48x66 ,kom,0.2222222222,Madrac,,,,,
124,AGRO 180 x 200,569,Ljepljiva traka 48x66 ,kom,0.1,Uzglavlje,,,,,
124,AGRO 180 x 200,594,Leptir matica M6,kom,2,Korpus(baza),,,,,
124,AGRO 180 x 200,794,"Retex 70gr/m 1,6m ",m,2,Uzglavlje,1.6,2,,,
124,AGRO 180 x 200,857,Termo vata ,kg,0.621,Uzglavlje,230,90,0.3,1,
124,AGRO 180 x 200,857,Termo vata 300 gr,kg,1.3,Madrac,210,205,0.3,1,
124,AGRO 180 x 200,953,Retex 70 gr/m ,m,2,Sijeda,2.1,100,,,
124,AGRO 180 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,2,Uzglavlje,,,,,
124,AGRO 180 x 200,1132,Valoviti karton_Bigovana trakica troslojna,kom,4,Korpus(baza),,,,,
125,GRAND 180X200 krevet + madrac,54,Amortizer 750,kom,4,,,,,,
125,Galileo 180x200,858,Bijela iverica 16mm,m2,0.7562,,199,19,,2,1
125,Taxim 200x200,858,Bijela iverica 16mm,m2,1.0746,,199,27,,2,1
125,Taxim 200x200,858,Bijela iverica 16mm,m2,0.51732,,95.8,27,,2,1
125,Wall 120x200,858,Bijela iverica 16mm,m2,0.22135,,116.5,19,,1,1
125,Grand 180x200,37,Bijeli lesonit 3mm,m2,3.5422,,199,89,,2,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01696,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.01,,,,,,
125,GRAND 180X200 krevet + madrac,809,"Daska 24mm - 3m, suha#",m3,0.00864,,,,,,
