"Demo Company d.o.o.
76100 Brčko, Brod bb
JIB: 4600471110010   PDV: 600471110002
žiro-račun: 
",,,,,,
txtNazivSkladista,txtNazivKategorijeArtikla,RedniBroj,Sifra,NazivArtikla,JedinicaMjere,KOLICINA
Sirovine,,,,,,
,sirovina,,,,,
,,343,369,Štof Preston 22,m,18.00
,,344,287,Štof Preston 23,m,62.00
,,345,364,Štof Preston 24,m,23.00
,,346,190,Štof Preston 29,m,26.00
,,347,8,Štof Preston 32,m,104.80
,,348,613,Štof Preston 94,m,15.00
,,349,222,Štof Preston 96,m,20.00
,,350,1145,Štof Puente 06,m,13.00
,,351,843,Štof Puente 80,m,48.81
,,352,1263,Štof QUELLE 01,m,108.20
,,353,1202,Štof QUELLE 02,m,43.50
,,354,1070,Štof QUELLE 03,m,237.90
,,355,362,Štof Riviera 16,m,16.00
,,356,21,Štof Riviera 21,m,67.00
,,357,110,Štof Riviera 24,m,4.00
,,358,985,Štof Riviera 59,m,16.01
,,359,986,Štof Riviera 60,m,31.01
,,360,895,Štof Riviera 63,m,25.00
,,361,696,Štof Riviera 69,m,8.50
,,362,210,Štof Riviera 74,m,27.00
,,363,113,Štof Riviera 79,m,17.00
,,364,244,Štof Riviera 80,m,50.00
,,365,112,Štof Riviera 82,m,80.20
,,366,183,Štof Riviera 87,m,9.50
,,367,111,Štof Riviera 91 (Helena 121),m,168.80
,,368,347,Štof Riviera 95,m,42.00
,,369,282,Štof Riviera 96,m,34.00
,,370,5,Štof Riviera 97,m,38.20
,,371,68,Štof Royal 27 (Helena 108),m,339.60
,,372,847,Štof Runagain 06,m,7.00
,,373,844,Štof Runo 03,m,6.50
,,374,1231,Štof Runo 26,m,15.00
,,375,1074,Štof Runo 97,m,25.00
,,376,1071,Štof SCALA 82,m,15.00
,,377,1072,Štof SCALA 92,m,15.00
,,378,1298,Štof SEAL 18,m,20.00
,,379,987,Štof SEAL 38,m,4.00
,,380,22,Štof Soro 21,m,54.60
,,381,371,Štof Soro 90,m,12.01
,,382,482,Štof Storm 02,m,15.00
,,383,1266,Štof Storm 06,m,10.00
,,384,1264,Štof Storm 09,m,20.00
,,385,1267,Štof Storm 48,m,10.00
,,386,1059,Štof TENDERWAY 90,m,3.00
,,387,1073,Štof Terra 06,m,15.00
,,388,253,Štof Terra 13,m,12.50
,,389,1147,Štof Terra 33,m,29.00
,,390,1148,Štof Terra 48,m,2.00
,,391,1055,Štof Terra M 103,m,96.90
,,392,219,Štof Today 03,m,283.70
,,393,254,Štof Today 13,m,61.10
,,394,988,Štof Today 85,m,3.00
,,395,1146,Štof Vibe 03,m,8.00
,,396,950,Štof Vibe 06,m,15.00
,,397,1232,Štof Vibe 39,m,15.00
,,398,361,Štof Wind 05,m,35.00
,,399,610,Štof Wind 31,m,6.00
,,400,609,Štof Wind 76,m,9.00
,,401,489,Štof Wind 80,m,23.00
,,402,1256,Štof za sve,m,-30.08
,,403,81,Štof Zenit 103- mal 2123,m,27.00
,,404,69,Štof Zenit 108 S- mal 2128,m,114.90
,,405,80,Štof Zenit 215 S - mal. 2132,m,166.10
,,406,214,Štof-Mal. 4015 S-Etna 020,m,11.00
,,407,388,Stolna matica M8,kom,"48,344.00"
,,408,31,Streč folija 23my 5kg,rol,44.10
,,409,118,"Tablet džepičasto jezgro 146x188x3,8 NY",kom,15.00
,,410,205,"Tablet džepičasto jezgro 166x188x3,8 NY",kom,20.00
